"","tractfips","cnt"
"1","01003011101",1
"2","01015000800",1
"3","01015001800",1
"4","01043964900",1
"5","01055001200",1
"6","01069040800",1
"7","01073002400",2
"8","01073004500",1
"9","01073012701",1
"10","01089001301",1
"11","01089001401",1
"12","01089002100",1
"13","01089003000",2
"14","01089003100",1
"15","01101000100",1
"16","01113030200",1
"17","01125011600",1
"18","01125012000",1
"19","02020000600",1
"20","02020001100",2
"21","02020001400",1
"22","02020001900",1
"23","02020002502",1
"24","02020002601",1
"25","02068000100",1
"26","02090000500",1
"27","02090001900",1
"28","02100000100",1
"29","02110000400",1
"30","02122000200",1
"31","02122000500",2
"32","02122001000",1
"33","02122001300",1
"34","02150000400",1
"35","02170000102",1
"36","02170000800",1
"37","02170001201",1
"38","02220000100",1
"39","02230000100",1
"40","04003001000",1
"41","04005000300",1
"42","04005000800",4
"43","04005001200",1
"44","04005001600",1
"45","04005001700",1
"46","04007000100",1
"47","04013061010",1
"48","04013071509",1
"49","04013092708",1
"50","04013092720",1
"51","04013105300",1
"52","04013107500",1
"53","04013111100",1
"54","04013113801",1
"55","04013116800",1
"56","04013216813",1
"57","04013216829",1
"58","04013216844",1
"59","04013218100",1
"60","04013318400",1
"61","04013318700",1
"62","04013319000",1
"63","04013319103",1
"64","04013319705",1
"65","04013320001",1
"66","04013421400",1
"67","04013422217",1
"68","04013422639",1
"69","04013522901",1
"70","04013523104",1
"71","04013615200",2
"72","04013615900",1
"73","04013811100",1
"74","04013814600",1
"75","04015952600",1
"76","04015953200",2
"77","04019000100",1
"78","04019000400",1
"79","04019000500",1
"80","04019000800",1
"81","04019001200",1
"82","04019002100",2
"83","04019003303",1
"84","04019004067",1
"85","04019004510",2
"86","04019004626",1
"87","04025000900",2
"88","04025001802",1
"89","05119001200",1
"90","05119004400",2
"91","05119004500",1
"92","05143010102",1
"93","05143010106",1
"94","05143010200",1
"95","05143010701",1
"96","05143011101",1
"97","05143011300",2
"98","06001403100",1
"99","06001406000",1
"100","06001422000",4
"101","06001422400",1
"102","06001422900",1
"103","06001428700",1
"104","06001432400",1
"105","06001435400",1
"106","06001441503",1
"107","06001441923",1
"108","06001444601",1
"109","06001450604",1
"110","06001450607",1
"111","06001450746",1
"112","06001451501",1
"113","06001982000",1
"114","06007001300",1
"115","06007001704",1
"116","06007002800",1
"117","06007003300",1
"118","06009000501",1
"119","06013303203",1
"120","06013309000",2
"121","06013315000",1
"122","06013327000",1
"123","06013328000",1
"124","06013337200",1
"125","06013339002",1
"126","06013345108",1
"127","06013345111",1
"128","06013345202",1
"129","06013355108",1
"130","06013389100",1
"131","06017030200",1
"132","06017030701",1
"133","06017030901",1
"134","06017031000",1
"135","06017031301",1
"136","06017031502",1
"137","06017031600",1
"138","06019000300",1
"139","06019000600",1
"140","06019002200",1
"141","06019005302",1
"142","06019005516",1
"143","06019005701",1
"144","06023000100",1
"145","06023001000",1
"146","06023010300",1
"147","06023010502",1
"148","06023010800",1
"149","06029002806",1
"150","06029003123",1
"151","06029003808",1
"152","06029005201",1
"153","06029005501",1
"154","06033001000",1
"155","06033001300",1
"156","06035040304",1
"157","06037134905",1
"158","06037135111",1
"159","06037186401",1
"160","06037188100",1
"161","06037206031",1
"162","06037206200",1
"163","06037207502",1
"164","06037207710",1
"165","06037227010",1
"166","06037265202",1
"167","06037267901",1
"168","06037275603",1
"169","06037296220",1
"170","06037301802",1
"171","06037310702",2
"172","06037320000",1
"173","06037401311",1
"174","06037401500",1
"175","06037401800",1
"176","06037403303",1
"177","06037403801",1
"178","06037404301",1
"179","06037406200",1
"180","06037408211",1
"181","06037430801",1
"182","06037431100",1
"183","06037433700",1
"184","06037461600",1
"185","06037463602",2
"186","06037463700",1
"187","06037530003",1
"188","06037551000",1
"189","06037554521",1
"190","06037571400",1
"191","06037576001",1
"192","06037576200",2
"193","06037577200",1
"194","06037577300",1
"195","06037620102",1
"196","06037621004",1
"197","06037621326",1
"198","06037650401",1
"199","06037650901",4
"200","06037651101",1
"201","06037800326",3
"202","06037800329",1
"203","06037900704",1
"204","06037900806",1
"205","06037910208",1
"206","06037920035",1
"207","06037920110",1
"208","06037920329",1
"209","06039000103",1
"210","06041101200",2
"211","06041104300",1
"212","06041108200",1
"213","06041111000",2
"214","06041114100",1
"215","06041121200",1
"216","06041127000",1
"217","06043000101",3
"218","06045010400",1
"219","06045011200",1
"220","06045011600",3
"221","06051000200",1
"222","06053001300",1
"223","06053012502",1
"224","06053012700",1
"225","06053014201",1
"226","06055200503",1
"227","06055201005",2
"228","06055202000",1
"229","06057000802",1
"230","06057001203",1
"231","06057001206",1
"232","06059001504",2
"233","06059011200",1
"234","06059011300",1
"235","06059011722",1
"236","06059021802",1
"237","06059021825",1
"238","06059032023",1
"239","06059032028",1
"240","06059032053",1
"241","06059032054",1
"242","06059042108",1
"243","06059052525",1
"244","06059052526",1
"245","06059062605",2
"246","06059062637",1
"247","06059062647",1
"248","06059062800",1
"249","06059063500",1
"250","06059063907",1
"251","06059074403",1
"252","06059075504",1
"253","06059075506",1
"254","06059075515",1
"255","06059075607",1
"256","06059075805",1
"257","06059075902",1
"258","06059076204",2
"259","06059076208",1
"260","06059086303",2
"261","06059087300",1
"262","06059088402",1
"263","06059099217",1
"264","06059099241",1
"265","06059099309",1
"266","06059099311",2
"267","06059099402",1
"268","06059099411",1
"269","06061020401",2
"270","06061021003",2
"271","06061021203",2
"272","06061021304",1
"273","06061021403",1
"274","06061021802",1
"275","06061022200",1
"276","06061022600",1
"277","06063000201",1
"278","06065030300",1
"279","06065030900",2
"280","06065041405",2
"281","06065041500",1
"282","06065041810",1
"283","06065041909",2
"284","06065042209",1
"285","06065042506",1
"286","06065043006",2
"287","06065043216",3
"288","06065044505",1
"289","06065044520",1
"290","06065045103",1
"291","06065045215",1
"292","06065046700",1
"293","06065050600",1
"294","06065051200",8
"295","06067000700",1
"296","06067001200",1
"297","06067001600",1
"298","06067002300",1
"299","06067003600",1
"300","06067005502",1
"301","06067007019",1
"302","06067008404",1
"303","06067008507",1
"304","06067009010",1
"305","06067009611",1
"306","06069000400",1
"307","06071000113",1
"308","06071000504",1
"309","06071001803",1
"310","06071002110",1
"311","06071007104",1
"312","06071007200",1
"313","06071007800",2
"314","06071008401",1
"315","06071008709",1
"316","06071009707",1
"317","06071010017",1
"318","06071011206",1
"319","06073000600",1
"320","06073001200",1
"321","06073001300",2
"322","06073001400",1
"323","06073001800",1
"324","06073004300",1
"325","06073004400",1
"326","06073005100",1
"327","06073005200",1
"328","06073005300",1
"329","06073005400",2
"330","06073005800",1
"331","06073006500",2
"332","06073007502",1
"333","06073007910",2
"334","06073008200",3
"335","06073008329",1
"336","06073008339",1
"337","06073008346",2
"338","06073008349",1
"339","06073008350",6
"340","06073008360",2
"341","06073008361",2
"342","06073008501",1
"343","06073008511",2
"344","06073009106",1
"345","06073009107",1
"346","06073009304",3
"347","06073009509",1
"348","06073009603",2
"349","06073010015",1
"350","06073011100",1
"351","06073012700",1
"352","06073013314",1
"353","06073015000",1
"354","06073015801",1
"355","06073016202",1
"356","06073016607",1
"357","06073016615",1
"358","06073016617",1
"359","06073017022",1
"360","06073017032",1
"361","06073017049",1
"362","06073017056",1
"363","06073017303",1
"364","06073017304",1
"365","06073017502",1
"366","06073017900",1
"367","06073018400",2
"368","06073018603",1
"369","06073018904",1
"370","06073019203",1
"371","06073019403",1
"372","06073019503",3
"373","06073019806",2
"374","06073019904",1
"375","06073019905",2
"376","06073020013",1
"377","06073020015",1
"378","06073020017",5
"379","06073020023",2
"380","06073020027",1
"381","06073020029",1
"382","06073020103",1
"383","06073020214",1
"384","06073020307",2
"385","06073020708",1
"386","06073020805",1
"387","06073020904",2
"388","06073021205",1
"389","06073021400",2
"390","06073022100",2
"391","06075010500",1
"392","06075010700",1
"393","06075011100",1
"394","06075012902",1
"395","06075016600",1
"396","06075017601",1
"397","06075017802",1
"398","06075020600",1
"399","06075020800",1
"400","06075021200",1
"401","06075022704",1
"402","06075022801",1
"403","06075023103",1
"404","06075030202",1
"405","06075040200",1
"406","06075061500",2
"407","06075980300",1
"408","06077001300",1
"409","06077003110",1
"410","06077004204",1
"411","06079010102",1
"412","06079010300",2
"413","06079010404",1
"414","06079010603",1
"415","06079011002",1
"416","06079011101",2
"417","06079011102",1
"418","06079011503",1
"419","06079011704",1
"420","06079012304",1
"421","06079012502",1
"422","06079012702",1
"423","06081602300",1
"424","06081604101",1
"425","06081605500",1
"426","06081607900",1
"427","06081609100",2
"428","06081610400",1
"429","06081611900",1
"430","06081613501",1
"431","06081613800",1
"432","06083000804",1
"433","06083000900",2
"434","06083001206",1
"435","06083001604",1
"436","06083001901",2
"437","06083001903",1
"438","06083002012",2
"439","06083002930",1
"440","06085500800",2
"441","06085500901",1
"442","06085502604",1
"443","06085503122",1
"444","06085506502",1
"445","06085507001",1
"446","06085508101",1
"447","06085508602",1
"448","06085508704",1
"449","06085509600",1
"450","06085511302",1
"451","06085512052",1
"452","06085512308",1
"453","06087100300",1
"454","06087100700",1
"455","06087100800",1
"456","06087101200",1
"457","06087120400",1
"458","06087121800",1
"459","06087122003",1
"460","06089010300",1
"461","06089010805",1
"462","06093000800",1
"463","06093000900",1
"464","06095252316",1
"465","06095252604",1
"466","06095253105",1
"467","06097150100",1
"468","06097150202",1
"469","06097150204",1
"470","06097150607",2
"471","06097150701",1
"472","06097152000",2
"473","06097153401",2
"474","06097153704",1
"475","06097153801",1
"476","06097153808",1
"477","06097153902",1
"478","06097154201",1
"479","06097154202",1
"480","06099000503",1
"481","06099003803",1
"482","06101050202",1
"483","06107001200",1
"484","06111002102",1
"485","06111002400",1
"486","06111002800",1
"487","06111003100",1
"488","06111005600",1
"489","06111007202",1
"490","06111007611",1
"491","06113010102",1
"492","06113010203",2
"493","06113010606",1
"494","06113011001",1
"495","06113011300",1
"496","08001008309",1
"497","08001008533",1
"498","08001008606",1
"499","08001009409",1
"500","08001060000",1
"501","08001060200",1
"502","08003960200",1
"503","08005004952",1
"504","08005005700",1
"505","08005006501",2
"506","08005006709",1
"507","08005006712",1
"508","08005081000",1
"509","08005083800",1
"510","08005086300",1
"511","08005086800",1
"512","08007974200",1
"513","08007974300",1
"514","08011966700",1
"515","08013012105",1
"516","08013012202",1
"517","08013012203",6
"518","08013012204",5
"519","08013012509",2
"520","08013012603",1
"521","08013012705",2
"522","08013012707",2
"523","08013012708",1
"524","08013012905",1
"525","08013013005",1
"526","08013013006",1
"527","08013013205",2
"528","08013013210",1
"529","08013013212",1
"530","08013013302",1
"531","08013013401",1
"532","08013013601",1
"533","08013013702",2
"534","08013060800",1
"535","08013060900",1
"536","08014030200",1
"537","08014031100",2
"538","08015000100",2
"539","08015000300",1
"540","08015000401",1
"541","08019014800",1
"542","08029964600",1
"543","08031000202",1
"544","08031000301",1
"545","08031000501",1
"546","08031001000",1
"547","08031001101",1
"548","08031001102",2
"549","08031001600",6
"550","08031001701",2
"551","08031001702",2
"552","08031001800",1
"553","08031001901",1
"554","08031002000",1
"555","08031002100",2
"556","08031003102",1
"557","08031003402",1
"558","08031004102",1
"559","08031004106",1
"560","08035013904",1
"561","08035013911",1
"562","08035014114",1
"563","08035014123",1
"564","08035014131",2
"565","08037000401",1
"566","08037000402",1
"567","08037000403",1
"568","08041000203",1
"569","08041000302",2
"570","08041002102",1
"571","08041002300",2
"572","08041002400",1
"573","08041003000",1
"574","08041003708",1
"575","08041003709",1
"576","08041005000",2
"577","08041005108",1
"578","08041007201",1
"579","08041007400",1
"580","08043978600",1
"581","08045951702",1
"582","08045951803",1
"583","08047013800",1
"584","08049000202",2
"585","08051963700",1
"586","08051963800",1
"587","08059009827",1
"588","08059009831",1
"589","08059009843",2
"590","08059010000",2
"591","08059010305",1
"592","08059010405",1
"593","08059010406",1
"594","08059010502",1
"595","08059010603",1
"596","08059011701",1
"597","08059011711",1
"598","08059060400",1
"599","08067970900",1
"600","08067971100",4
"601","08069000100",3
"602","08069000504",1
"603","08069000901",1
"604","08069001008",1
"605","08069001110",1
"606","08069001306",4
"607","08069001603",1
"608","08069001704",2
"609","08069001709",1
"610","08069001902",1
"611","08069002007",1
"612","08069002700",1
"613","08069002802",1
"614","08077000300",1
"615","08077000500",1
"616","08077000601",1
"617","08077000800",1
"618","08077001501",2
"619","08077001702",1
"620","08083969000",1
"621","08083969400",2
"622","08085966300",3
"623","08091967600",3
"624","08093000500",2
"625","08097000100",1
"626","08097000402",1
"627","08101003500",1
"628","08105976800",1
"629","08107000500",1
"630","08111972600",1
"631","08113968101",1
"632","08113968103",1
"633","08117000200",2
"634","08117000300",1
"635","08117000401",1
"636","08119010104",3
"637","08123000701",1
"638","08123000900",1
"639","08123001414",1
"640","08123002007",1
"641","08123002013",1
"642","08123002207",1
"643","09001020100",1
"644","09001022300",1
"645","09001060600",1
"646","09001080200",1
"647","09003406100",1
"648","09003420500",1
"649","09003468102",1
"650","09003471200",1
"651","09003471500",1
"652","09003484100",1
"653","09003502100",1
"654","09003511300",1
"655","09003514102",1
"656","09003514500",1
"657","09009140100",1
"658","09009150900",1
"659","09009160200",1
"660","09009184200",1
"661","09009184700",1
"662","09009346102",1
"663","09009361200",1
"664","09011705101",1
"665","09011705200",1
"666","09011705300",1
"667","09015800600",1
"668","10001041000",1
"669","10003002700",1
"670","10003011900",1
"671","10003013608",1
"672","10003014502",2
"673","10003014906",1
"674","10005050504",1
"675","10005050802",1
"676","10005051102",1
"677","10005051900",1
"678","11001001702",1
"679","11001004801",1
"680","11001004902",1
"681","11001005800",3
"682","11001007200",1
"683","11001008803",1
"684","11001008903",1
"685","11001009201",1
"686","11001011100",1
"687","12001000500",1
"688","12001001521",1
"689","12001002217",1
"690","12009064127",1
"691","12009064902",1
"692","12009068101",1
"693","12009069700",1
"694","12011020316",1
"695","12011020320",1
"696","12011050602",1
"697","12011070207",1
"698","12011090102",1
"699","12011110336",1
"700","12017450500",1
"701","12019030301",1
"702","12021010506",1
"703","12031000800",1
"704","12031002101",1
"705","12031014001",1
"706","12031014102",1
"707","12031014204",1
"708","12031014401",1
"709","12031014406",1
"710","12031017100",1
"711","12033000800",2
"712","12053041401",1
"713","12057000101",1
"714","12057002200",2
"715","12057003900",1
"716","12057004600",1
"717","12057010105",1
"718","12057011107",1
"719","12057011412",1
"720","12057012211",2
"721","12069030914",1
"722","12069031309",1
"723","12071040116",1
"724","12073002005",1
"725","12073002416",1
"726","12081000703",1
"727","12085001301",1
"728","12086002800",2
"729","12086004204",1
"730","12086006713",1
"731","12086011500",1
"732","12086980300",1
"733","12087972100",1
"734","12087972500",1
"735","12089050102",1
"736","12091022600",1
"737","12091023306",1
"738","12095014504",1
"739","12095015901",1
"740","12095017103",1
"741","12095017107",1
"742","12095018500",1
"743","12097042100",1
"744","12099000102",1
"745","12099002600",1
"746","12099005808",1
"747","12099007302",1
"748","12099007607",1
"749","12099007618",1
"750","12101031701",1
"751","12103021500",1
"752","12103021600",1
"753","12103021800",1
"754","12103021900",1
"755","12103024406",1
"756","12103024512",1
"757","12103024902",1
"758","12103025009",1
"759","12103025603",1
"760","12103026913",1
"761","12103027101",2
"762","12103027308",1
"763","12103027326",1
"764","12103028402",1
"765","12109020500",1
"766","12109021004",1
"767","12115000101",1
"768","12115001302",1
"769","12115002003",1
"770","12117021503",1
"771","12127080400",1
"772","12127080803",1
"773","12127081102",1
"774","12127082301",1
"775","13031110403",1
"776","13031110500",1
"777","13051000300",1
"778","13051000601",1
"779","13053020201",1
"780","13059000100",1
"781","13059130300",1
"782","13067030227",1
"783","13067030412",1
"784","13089022600",1
"785","13089022800",2
"786","13089023000",1
"787","13111050400",2
"788","13117130302",1
"789","13121000400",1
"790","13121001002",1
"791","13121001202",1
"792","13121001900",1
"793","13121003000",1
"794","13121005300",1
"795","13121008902",1
"796","13121008904",1
"797","13121009102",1
"798","13121009603",1
"799","13121010212",1
"800","13121010514",1
"801","13121011610",1
"802","13121011619",1
"803","13121011621",1
"804","13135050718",1
"805","13151070502",1
"806","13187960202",1
"807","13215011100",1
"808","15001021601",1
"809","15001021702",1
"810","15003000112",1
"811","15003003700",1
"812","15003003800",1
"813","15003003900",1
"814","15003005700",2
"815","15003007503",1
"816","15007040500",1
"817","15007040700",1
"818","15009031405",1
"819","15009031502",1
"820","16001000100",2
"821","16001000202",1
"822","16001000701",1
"823","16001001100",2
"824","16001002302",1
"825","16001002410",1
"826","16001002412",1
"827","16001010313",1
"828","16001010321",1
"829","16005000800",1
"830","16013960200",2
"831","16013960300",1
"832","16017950200",1
"833","16017950300",1
"834","16019971200",1
"835","16027020100",1
"836","16055000500",1
"837","16055000601",1
"838","16055000900",1
"839","16055001300",1
"840","16057005100",1
"841","16059970200",1
"842","16069960300",1
"843","16079960400",2
"844","16081960100",2
"845","16085970200",1
"846","16085970300",2
"847","17001000700",1
"848","17019001302",1
"849","17019010601",1
"850","17019011000",3
"851","17027900300",1
"852","17031030900",1
"853","17031031000",1
"854","17031040100",1
"855","17031050100",2
"856","17031050200",1
"857","17031063200",1
"858","17031070400",1
"859","17031071000",1
"860","17031081500",1
"861","17031081600",1
"862","17031140500",1
"863","17031160200",1
"864","17031210100",1
"865","17031221300",1
"866","17031240500",1
"867","17031241400",1
"868","17031241500",1
"869","17031280100",2
"870","17031491400",1
"871","17031720500",1
"872","17031770602",1
"873","17031770700",1
"874","17031801601",1
"875","17031802402",1
"876","17031803701",1
"877","17031804201",1
"878","17031804603",1
"879","17031809700",1
"880","17031820202",1
"881","17031820901",1
"882","17031824105",1
"883","17031824120",1
"884","17031828201",1
"885","17031829800",1
"886","17031830500",1
"887","17031832000",1
"888","17031832600",1
"889","17043840101",1
"890","17043841604",1
"891","17043843100",1
"892","17043844301",1
"893","17043844902",1
"894","17043845000",1
"895","17043846405",1
"896","17043846509",1
"897","17043846519",1
"898","17043846702",1
"899","17077010100",1
"900","17077010300",2
"901","17077010400",1
"902","17085020100",1
"903","17085020300",1
"904","17089850105",1
"905","17089850500",1
"906","17089852601",1
"907","17089853300",1
"908","17091012000",1
"909","17093890600",1
"910","17097861105",1
"911","17097863300",1
"912","17097863701",1
"913","17097864002",1
"914","17097864205",1
"915","17097864307",1
"916","17111870604",1
"917","17113000504",2
"918","17113001600",1
"919","17119400102",1
"920","17119403601",1
"921","17143000900",1
"922","17157950800",1
"923","17161022300",1
"924","17161022600",1
"925","17163503304",1
"926","17167001400",1
"927","17167002802",1
"928","17167003700",1
"929","17179020100",1
"930","17179020301",1
"931","17197880109",1
"932","17197880308",1
"933","17201000514",1
"934","17201000800",1
"935","17201001100",1
"936","17201003805",1
"937","18003002100",1
"938","18003003304",1
"939","18005010100",2
"940","18005011200",1
"941","18005011300",1
"942","18013974800",1
"943","18029080500",1
"944","18033020500",1
"945","18035002800",1
"946","18037953300",1
"947","18039000100",1
"948","18039002700",1
"949","18043070500",1
"950","18043070901",1
"951","18057110700",1
"952","18057110809",1
"953","18057111007",1
"954","18057111008",1
"955","18057111102",1
"956","18063210606",1
"957","18063210607",1
"958","18063210608",1
